,Date,None,D0,D1,D2,D3,D4
0,2012-04-02,2.22,8.16,43.36,46.25,0.0,0.0
1,2012-04-03,2.22,8.16,43.36,46.25,0.0,0.0
2,2012-04-04,2.22,8.16,43.36,46.25,0.0,0.0
3,2012-04-05,2.22,8.16,43.36,46.25,0.0,0.0
4,2012-04-06,2.22,8.16,43.36,46.25,0.0,0.0
5,2012-04-07,2.22,8.16,43.36,46.25,0.0,0.0
6,2012-04-08,2.22,8.16,43.36,46.25,0.0,0.0
7,2012-04-09,3.54,14.45,35.75,46.25,0.0,0.0
8,2012-04-10,3.54,14.45,35.75,46.25,0.0,0.0
9,2012-04-11,3.54,14.45,35.75,46.25,0.0,0.0
10,2012-04-12,3.54,14.45,35.75,46.25,0.0,0.0
11,2012-04-13,3.54,14.45,35.75,46.25,0.0,0.0
12,2012-04-14,3.54,14.45,35.75,46.25,0.0,0.0
13,2012-04-15,3.54,14.45,35.75,46.25,0.0,0.0
14,2012-04-16,4.89,13.64,32.48,49.0,0.0,0.0
15,2012-04-17,4.89,13.64,32.48,49.0,0.0,0.0
16,2012-04-18,4.89,13.64,32.48,49.0,0.0,0.0
17,2012-04-19,4.89,13.64,32.48,49.0,0.0,0.0
18,2012-04-20,4.89,13.64,32.48,49.0,0.0,0.0
19,2012-04-21,4.89,13.64,32.48,49.0,0.0,0.0
20,2012-04-22,4.89,13.64,32.48,49.0,0.0,0.0
21,2012-04-23,15.84,23.93,33.88,26.35,0.0,0.0
22,2012-04-24,15.84,23.93,33.88,26.35,0.0,0.0
23,2012-04-25,15.84,23.93,33.88,26.35,0.0,0.0
24,2012-04-26,15.84,23.93,33.88,26.35,0.0,0.0
25,2012-04-27,15.84,23.93,33.88,26.35,0.0,0.0
26,2012-04-28,15.84,23.93,33.88,26.35,0.0,0.0
27,2012-04-29,15.84,23.93,33.88,26.35,0.0,0.0
28,2012-04-30,15.84,23.93,37.36,22.87,0.0,0.0
29,2012-05-01,15.84,23.93,37.36,22.87,0.0,0.0
30,2012-05-02,15.84,23.93,37.36,22.87,0.0,0.0
31,2012-05-03,15.84,23.93,37.36,22.87,0.0,0.0
32,2012-05-04,15.84,23.93,37.36,22.87,0.0,0.0
33,2012-05-05,15.84,23.93,37.36,22.87,0.0,0.0
34,2012-05-06,15.84,23.93,37.36,22.87,0.0,0.0
35,2012-05-07,15.84,25.19,37.83,21.14,0.0,0.0
36,2012-05-08,15.84,25.19,37.83,21.14,0.0,0.0
37,2012-05-09,15.84,25.19,37.83,21.14,0.0,0.0
38,2012-05-10,15.84,25.19,37.83,21.14,0.0,0.0
39,2012-05-11,15.84,25.19,37.83,21.14,0.0,0.0
40,2012-05-12,15.84,25.19,37.83,21.14,0.0,0.0
41,2012-05-13,15.84,25.19,37.83,21.14,0.0,0.0
42,2012-05-14,15.89,25.22,37.75,21.14,0.0,0.0
43,2012-05-15,15.89,25.22,37.75,21.14,0.0,0.0
44,2012-05-16,15.89,25.22,37.75,21.14,0.0,0.0
45,2012-05-17,15.89,25.22,37.75,21.14,0.0,0.0
46,2012-05-18,15.89,25.22,37.75,21.14,0.0,0.0
47,2012-05-19,15.89,25.22,37.75,21.14,0.0,0.0
48,2012-05-20,15.89,25.22,37.75,21.14,0.0,0.0
49,2012-05-21,15.89,25.22,36.3,22.6,0.0,0.0
50,2012-05-22,15.89,25.22,36.3,22.6,0.0,0.0
51,2012-05-23,15.89,25.22,36.3,22.6,0.0,0.0
52,2012-05-24,15.89,25.22,36.3,22.6,0.0,0.0
53,2012-05-25,15.89,25.22,36.3,22.6,0.0,0.0
54,2012-05-26,15.89,25.22,36.3,22.6,0.0,0.0
55,2012-05-27,15.89,25.22,36.3,22.6,0.0,0.0
56,2012-05-28,15.89,25.22,36.3,22.6,0.0,0.0
57,2012-05-29,15.89,25.22,36.3,22.6,0.0,0.0
58,2012-05-30,15.89,25.22,36.3,22.6,0.0,0.0
59,2012-05-31,15.89,25.22,36.3,22.6,0.0,0.0
60,2012-06-01,15.89,25.22,36.3,22.6,0.0,0.0
61,2012-06-02,15.89,25.22,36.3,22.6,0.0,0.0
62,2012-06-03,15.89,25.22,36.3,22.6,0.0,0.0
63,2012-06-04,15.89,25.22,36.3,22.6,0.0,0.0
64,2012-06-05,15.89,25.22,36.3,22.6,0.0,0.0
65,2012-06-06,15.89,25.22,36.3,22.6,0.0,0.0
66,2012-06-07,15.89,25.22,36.3,22.6,0.0,0.0
67,2012-06-08,15.89,25.22,36.3,22.6,0.0,0.0
68,2012-06-09,15.89,25.22,36.3,22.6,0.0,0.0
69,2012-06-10,15.89,25.22,36.3,22.6,0.0,0.0
70,2012-06-11,15.89,25.22,36.3,22.6,0.0,0.0
71,2012-06-12,15.89,25.22,36.3,22.6,0.0,0.0
72,2012-06-13,15.89,25.22,36.3,22.6,0.0,0.0
73,2012-06-14,15.89,25.22,36.3,22.6,0.0,0.0
74,2012-06-15,15.89,25.22,36.3,22.6,0.0,0.0
75,2012-06-16,15.89,25.22,36.3,22.6,0.0,0.0
76,2012-06-17,15.89,25.22,36.3,22.6,0.0,0.0
77,2012-06-18,15.89,25.22,36.3,22.6,0.0,0.0
78,2012-06-19,15.89,25.22,36.3,22.6,0.0,0.0
79,2012-06-20,15.89,25.22,36.3,22.6,0.0,0.0
80,2012-06-21,15.89,25.22,36.3,22.6,0.0,0.0
81,2012-06-22,15.89,25.22,36.3,22.6,0.0,0.0
82,2012-06-23,15.89,25.22,36.3,22.6,0.0,0.0
83,2012-06-24,15.89,25.22,36.3,22.6,0.0,0.0
84,2012-06-25,15.89,24.6,36.91,22.6,0.0,0.0
85,2012-06-26,15.89,24.6,36.91,22.6,0.0,0.0
86,2012-06-27,15.89,24.6,36.91,22.6,0.0,0.0
87,2012-06-28,15.89,24.6,36.91,22.6,0.0,0.0
88,2012-06-29,15.89,24.6,36.91,22.6,0.0,0.0
89,2012-06-30,15.89,24.6,36.91,22.6,0.0,0.0
90,2012-07-01,15.89,24.6,36.91,22.6,0.0,0.0
91,2012-07-02,15.89,24.6,36.74,22.76,0.0,0.0
92,2012-07-03,15.89,24.6,36.74,22.76,0.0,0.0
93,2012-07-04,15.89,24.6,36.74,22.76,0.0,0.0
94,2012-07-05,15.89,24.6,36.74,22.76,0.0,0.0
95,2012-07-06,15.89,24.6,36.74,22.76,0.0,0.0
96,2012-07-07,15.89,24.6,36.74,22.76,0.0,0.0
97,2012-07-08,15.89,24.6,36.74,22.76,0.0,0.0
98,2012-07-09,15.88,24.35,36.85,22.92,0.0,0.0
99,2012-07-10,15.88,24.35,36.85,22.92,0.0,0.0
100,2012-07-11,15.88,24.35,36.85,22.92,0.0,0.0
101,2012-07-12,15.88,24.35,36.85,22.92,0.0,0.0
102,2012-07-13,15.88,24.35,36.85,22.92,0.0,0.0
103,2012-07-14,15.88,24.35,36.85,22.92,0.0,0.0
104,2012-07-15,15.88,24.35,36.85,22.92,0.0,0.0
105,2012-07-16,15.88,24.38,36.81,22.92,0.0,0.0
106,2012-07-17,15.88,24.38,36.81,22.92,0.0,0.0
107,2012-07-18,15.88,24.38,36.81,22.92,0.0,0.0
108,2012-07-19,15.88,24.38,36.81,22.92,0.0,0.0
109,2012-07-20,15.88,24.38,36.81,22.92,0.0,0.0
110,2012-07-21,15.88,24.38,36.81,22.92,0.0,0.0
111,2012-07-22,15.88,24.38,36.81,22.92,0.0,0.0
112,2012-07-23,15.88,24.38,36.81,22.92,0.0,0.0
113,2012-07-24,15.88,24.38,36.81,22.92,0.0,0.0
114,2012-07-25,15.88,24.38,36.81,22.92,0.0,0.0
115,2012-07-26,15.88,24.38,36.81,22.92,0.0,0.0
116,2012-07-27,15.88,24.38,36.81,22.92,0.0,0.0
117,2012-07-28,15.88,24.38,36.81,22.92,0.0,0.0
118,2012-07-29,15.88,24.38,36.81,22.92,0.0,0.0
119,2012-07-30,11.64,24.55,36.96,26.56,0.29,0.0
120,2012-07-31,11.64,24.55,36.96,26.56,0.29,0.0
121,2012-08-01,11.64,24.55,36.96,26.56,0.29,0.0
122,2012-08-02,11.64,24.55,36.96,26.56,0.29,0.0
123,2012-08-03,11.64,24.55,36.96,26.56,0.29,0.0
124,2012-08-04,11.64,24.55,36.96,26.56,0.29,0.0
125,2012-08-05,11.64,24.55,36.96,26.56,0.29,0.0
126,2012-08-06,11.64,24.55,40.2,23.32,0.29,0.0
127,2012-08-07,11.64,24.55,40.2,23.32,0.29,0.0
128,2012-08-08,11.64,24.55,40.2,23.32,0.29,0.0
129,2012-08-09,11.64,24.55,40.2,23.32,0.29,0.0
130,2012-08-10,11.64,24.55,40.2,23.32,0.29,0.0
131,2012-08-11,11.64,24.55,40.2,23.32,0.29,0.0
132,2012-08-12,11.64,24.55,40.2,23.32,0.29,0.0
133,2012-08-13,11.64,24.55,40.49,23.02,0.29,0.0
134,2012-08-14,11.64,24.55,40.49,23.02,0.29,0.0
135,2012-08-15,11.64,24.55,40.49,23.02,0.29,0.0
136,2012-08-16,11.64,24.55,40.49,23.02,0.29,0.0
137,2012-08-17,11.64,24.55,40.49,23.02,0.29,0.0
138,2012-08-18,11.64,24.55,40.49,23.02,0.29,0.0
139,2012-08-19,11.64,24.55,40.49,23.02,0.29,0.0
140,2012-08-20,11.3,24.86,40.53,23.02,0.29,0.0
141,2012-08-21,11.3,24.86,40.53,23.02,0.29,0.0
