,Unnamed: 0,Date,None,D0,D1,D2,D3,D4,Drought_intensity
0,0,2012-04-02,2.22,8.16,43.36,46.25,0.0,0.0,46.726
1,1,2012-04-03,2.22,8.16,43.36,46.25,0.0,0.0,46.726
2,2,2012-04-04,2.22,8.16,43.36,46.25,0.0,0.0,46.726
3,3,2012-04-05,2.22,8.16,43.36,46.25,0.0,0.0,46.726
4,4,2012-04-06,2.22,8.16,43.36,46.25,0.0,0.0,46.726
5,5,2012-04-07,2.22,8.16,43.36,46.25,0.0,0.0,46.726
6,6,2012-04-08,2.22,8.16,43.36,46.25,0.0,0.0,46.726
7,7,2012-04-09,3.54,14.45,35.75,46.25,0.0,0.0,44.94
8,8,2012-04-10,3.54,14.45,35.75,46.25,0.0,0.0,44.94
9,9,2012-04-11,3.54,14.45,35.75,46.25,0.0,0.0,44.94
10,10,2012-04-12,3.54,14.45,35.75,46.25,0.0,0.0,44.94
11,11,2012-04-13,3.54,14.45,35.75,46.25,0.0,0.0,44.94
12,12,2012-04-14,3.54,14.45,35.75,46.25,0.0,0.0,44.94
13,13,2012-04-15,3.54,14.45,35.75,46.25,0.0,0.0,44.94
14,14,2012-04-16,4.89,13.64,32.48,49.0,0.0,0.0,45.12
15,15,2012-04-17,4.89,13.64,32.48,49.0,0.0,0.0,45.12
16,16,2012-04-18,4.89,13.64,32.48,49.0,0.0,0.0,45.12
17,17,2012-04-19,4.89,13.64,32.48,49.0,0.0,0.0,45.12
18,18,2012-04-20,4.89,13.64,32.48,49.0,0.0,0.0,45.12
19,19,2012-04-21,4.89,13.64,32.48,49.0,0.0,0.0,45.12
20,20,2012-04-22,4.89,13.64,32.48,49.0,0.0,0.0,45.12
21,21,2012-04-23,15.84,23.93,33.88,26.35,0.0,0.0,34.148
22,22,2012-04-24,15.84,23.93,33.88,26.35,0.0,0.0,34.148
23,23,2012-04-25,15.84,23.93,33.88,26.35,0.0,0.0,34.148
24,24,2012-04-26,15.84,23.93,33.88,26.35,0.0,0.0,34.148
25,25,2012-04-27,15.84,23.93,33.88,26.35,0.0,0.0,34.148
26,26,2012-04-28,15.84,23.93,33.88,26.35,0.0,0.0,34.148
27,27,2012-04-29,15.84,23.93,33.88,26.35,0.0,0.0,34.148
28,28,2012-04-30,15.84,23.93,37.36,22.87,0.0,0.0,33.452
29,29,2012-05-01,15.84,23.93,37.36,22.87,0.0,0.0,33.452
30,30,2012-05-02,15.84,23.93,37.36,22.87,0.0,0.0,33.452
31,31,2012-05-03,15.84,23.93,37.36,22.87,0.0,0.0,33.452
32,32,2012-05-04,15.84,23.93,37.36,22.87,0.0,0.0,33.452
33,33,2012-05-05,15.84,23.93,37.36,22.87,0.0,0.0,33.452
34,34,2012-05-06,15.84,23.93,37.36,22.87,0.0,0.0,33.452
35,35,2012-05-07,15.84,25.19,37.83,21.14,0.0,0.0,32.854
36,36,2012-05-08,15.84,25.19,37.83,21.14,0.0,0.0,32.854
37,37,2012-05-09,15.84,25.19,37.83,21.14,0.0,0.0,32.854
38,38,2012-05-10,15.84,25.19,37.83,21.14,0.0,0.0,32.854
39,39,2012-05-11,15.84,25.19,37.83,21.14,0.0,0.0,32.854
40,40,2012-05-12,15.84,25.19,37.83,21.14,0.0,0.0,32.854
41,41,2012-05-13,15.84,25.19,37.83,21.14,0.0,0.0,32.854
42,42,2012-05-14,15.89,25.22,37.75,21.14,0.0,0.0,32.827999999999996
43,43,2012-05-15,15.89,25.22,37.75,21.14,0.0,0.0,32.827999999999996
44,44,2012-05-16,15.89,25.22,37.75,21.14,0.0,0.0,32.827999999999996
45,45,2012-05-17,15.89,25.22,37.75,21.14,0.0,0.0,32.827999999999996
46,46,2012-05-18,15.89,25.22,37.75,21.14,0.0,0.0,32.827999999999996
47,47,2012-05-19,15.89,25.22,37.75,21.14,0.0,0.0,32.827999999999996
48,48,2012-05-20,15.89,25.22,37.75,21.14,0.0,0.0,32.827999999999996
